filename,width,height,class,xmin,ymin,xmax,ymax
s-51-_jpg.rf.2cc12e1f4f5775ac91b52dbf84b52c9b.jpg,640,640,Fin_lesions,114,68,423,377
n-127-_jpg.rf.6f9463efdac5a7992db330f94c44df32.jpg,640,640,EUS,188,124,333,270
n-127-_jpg.rf.6f9463efdac5a7992db330f94c44df32.jpg,640,640,EUS,264,350,389,475
n-420-_jpg.rf.b54d4488e5b227bacd534f905bf7ecc3.jpg,640,640,Fin_lesions,353,403,435,485
n-420-_jpg.rf.b54d4488e5b227bacd534f905bf7ecc3.jpg,640,640,Fin_lesions,354,176,473,295
s-35-_jpg.rf.4cfb3b4ae0a0d3d4c6aacf1ce47c5f27.jpg,640,640,EUS,253,307,345,398
s-186-_jpg.rf.66fe163e5f0674667fbc02d1fddaafff.jpg,640,640,Rotten_gills,279,225,388,336
n-436-_jpg.rf.88d182205a412ae57f588861f2a743e6.jpg,640,640,EUS,417,266,508,378
n-248-_jpg.rf.e15b84c555327c23b7c3341d6d804e25.jpg,640,640,Body_Worms,217,201,285,281
n-61-_jpg.rf.272357e532c2984a29c404d8287a18b4.jpg,640,640,Eye_disease,136,257,248,350
n-61-_jpg.rf.272357e532c2984a29c404d8287a18b4.jpg,640,640,EUS,289,259,422,482
n-250-_jpg.rf.ec65ff4cb03ecae0d52b26085f43c303.jpg,640,640,Body_Worms,235,230,340,334
n-399-_jpg.rf.e99ed53b8f81a47e21988ee5ea4026c1.jpg,640,640,Fin_lesions,270,195,472,393
n-357-_jpg.rf.0f61c9d4484ab7417caff9fa73bf2651.jpg,640,640,Body_Worms,241,246,289,294
n-357-_jpg.rf.0f61c9d4484ab7417caff9fa73bf2651.jpg,640,640,Body_Worms,198,193,239,234
n-357-_jpg.rf.0f61c9d4484ab7417caff9fa73bf2651.jpg,640,640,Body_Worms,217,296,246,325
n-357-_jpg.rf.0f61c9d4484ab7417caff9fa73bf2651.jpg,640,640,Body_Worms,240,193,279,231
IMG20230921160359_jpg.rf.0f662790601e074b8820a0f3749b712f.jpg,640,640,Rotten_gills,251,289,415,457
07_jpg.rf.19fe762ca237b69fdd1f10ddac965135.jpg,640,640,EUS,203,75,551,444
n-487-_jpg.rf.278777dfa4c381e14afe83b6a9f9a646.jpg,640,640,Rotten_gills,304,209,515,420
n-487-_jpg.rf.278777dfa4c381e14afe83b6a9f9a646.jpg,640,640,Eye_disease,481,319,561,400
s-199-_jpg.rf.b2c2d1833630a9bb02571122aa34584a.jpg,640,640,Rotten_gills,246,288,364,437
n-137-_jpg.rf.f1c221f7191620fc3c638c3208a2afb7.jpg,640,640,EUS,257,404,356,465
n-137-_jpg.rf.f1c221f7191620fc3c638c3208a2afb7.jpg,640,640,EUS,418,287,480,341
n-137-_jpg.rf.f1c221f7191620fc3c638c3208a2afb7.jpg,640,640,EUS,487,391,641,503
n-137-_jpg.rf.f1c221f7191620fc3c638c3208a2afb7.jpg,640,640,EUS,168,191,226,290
n-364-_jpg.rf.fbf7c3695243cc7f3be9dc42e28346f3.jpg,640,640,Fin_lesions,496,354,640,498
n-412-_jpg.rf.33f6c8dc36e9e3a5fd920b9ddb7cd8b3.jpg,640,640,Fin_lesions,192,75,305,188
s-49-_jpg.rf.caefbaf9af647d1bf5276126159100a9.jpg,640,640,Fin_lesions,155,200,483,524
n-288-_jpg.rf.0bf66747f9e9e8726077032711f8ea78.jpg,640,640,Body_Worms,305,115,379,214
n-288-_jpg.rf.0bf66747f9e9e8726077032711f8ea78.jpg,640,640,Body_Worms,382,160,455,217
n-288-_jpg.rf.0bf66747f9e9e8726077032711f8ea78.jpg,640,640,Body_Worms,449,196,490,222
n-288-_jpg.rf.0bf66747f9e9e8726077032711f8ea78.jpg,640,640,Body_Worms,404,73,464,135
n-288-_jpg.rf.0bf66747f9e9e8726077032711f8ea78.jpg,640,640,Body_Worms,315,40,390,108
n-288-_jpg.rf.0bf66747f9e9e8726077032711f8ea78.jpg,640,640,Body_Worms,418,415,468,462
n-288-_jpg.rf.0bf66747f9e9e8726077032711f8ea78.jpg,640,640,Body_Worms,344,435,412,491
n-288-_jpg.rf.0bf66747f9e9e8726077032711f8ea78.jpg,640,640,Body_Worms,306,382,332,437
n-288-_jpg.rf.0bf66747f9e9e8726077032711f8ea78.jpg,640,640,Body_Worms,297,502,353,540
n-288-_jpg.rf.0bf66747f9e9e8726077032711f8ea78.jpg,640,640,Body_Worms,123,488,239,543
n-288-_jpg.rf.0bf66747f9e9e8726077032711f8ea78.jpg,640,640,Body_Worms,179,435,225,477
n-288-_jpg.rf.0bf66747f9e9e8726077032711f8ea78.jpg,640,640,Body_Worms,253,358,307,419
s-180-_jpg.rf.ef107b758943cfeac8d00e1d3e393947.jpg,640,640,Rotten_gills,147,168,330,280
n-99-_jpg.rf.23842f2bf062a9144aa5aa7d3506bcb7.jpg,640,640,Eye_disease,8,280,49,321
n-61-_jpg.rf.c23d0d9e741a3cbd9b1abe32270c8a16.jpg,640,640,Eye_disease,136,254,250,349
n-61-_jpg.rf.c23d0d9e741a3cbd9b1abe32270c8a16.jpg,640,640,EUS,286,259,423,483
n-178-_jpg.rf.ddcaa9ee4f77659734725a1bb6311771.jpg,640,640,EUS,50,238,197,385
